name,type_1,type_2,height,weight,hp,attack,defense,special-attack,special-defense,speed
ponyta,fire,None,10,300,50,85,55,65,65,90
rapidash,fire,None,17,950,65,100,70,80,80,105
slowpoke,water,psychic,12,360,90,65,65,40,40,15
slowbro,water,psychic,16,785,95,75,110,100,80,30
magnemite,electric,steel,3,60,25,35,70,95,55,45
magneton,electric,steel,10,600,50,60,95,120,70,70
farfetchd,normal,flying,8,150,52,90,55,58,62,60
doduo,normal,flying,14,392,35,85,45,35,35,75
dodrio,normal,flying,18,852,60,110,70,60,60,110
seel,water,None,11,900,65,45,55,45,70,45
dewgong,water,ice,17,1200,90,70,80,70,95,70
grimer,poison,None,9,300,80,80,50,40,50,25
muk,poison,None,12,300,105,105,75,65,100,50
shellder,water,None,3,40,30,65,100,45,25,40
cloyster,water,ice,15,1325,50,95,180,85,45,70
gastly,ghost,poison,13,1,30,35,30,100,35,80
haunter,ghost,poison,16,1,45,50,45,115,55,95
gengar,ghost,poison,15,405,60,65,60,130,75,110
onix,rock,ground,88,2100,35,45,160,30,45,70
drowzee,psychic,None,10,324,60,48,45,43,90,42
hypno,psychic,None,16,756,85,73,70,73,115,67
krabby,water,None,4,65,30,105,90,25,25,50
kingler,water,None,13,600,55,130,115,50,50,75
voltorb,electric,None,5,104,40,30,50,55,55,100
electrode,electric,None,12,666,60,50,70,80,80,150
exeggcute,grass,psychic,4,25,60,40,80,60,45,40
exeggutor,grass,psychic,20,1200,95,95,85,125,75,55
cubone,ground,None,4,65,50,50,95,40,50,35
marowak,ground,None,10,450,60,80,110,50,80,45
hitmonlee,fighting,None,15,498,50,120,53,35,110,87
hitmonchan,fighting,None,14,502,50,105,79,35,110,76
lickitung,normal,None,12,655,90,55,75,60,75,30
koffing,poison,None,6,10,40,65,95,60,45,35
weezing,poison,None,12,95,65,90,120,85,70,60
rhyhorn,ground,rock,10,1150,80,85,95,30,30,25
rhydon,ground,rock,19,1200,105,130,120,45,45,40
chansey,normal,None,11,346,250,5,5,35,105,50
tangela,grass,None,10,350,65,55,115,100,40,60
kangaskhan,normal,None,22,800,105,95,80,40,80,90
horsea,water,None,4,80,30,40,70,70,25,60
seadra,water,None,12,250,55,65,95,95,45,85
goldeen,water,None,6,150,45,67,60,35,50,63
seaking,water,None,13,390,80,92,65,65,80,68
staryu,water,None,8,345,30,45,55,70,55,85
starmie,water,psychic,11,800,60,75,85,100,85,115
mr-mime,psychic,fairy,13,545,40,45,65,100,120,90
scyther,bug,flying,15,560,70,110,80,55,80,105
jynx,ice,psychic,14,406,65,50,35,115,95,95
electabuzz,electric,None,11,300,65,83,57,95,85,105
magmar,fire,None,13,445,65,95,57,100,85,93
pinsir,bug,None,15,550,65,125,100,55,70,85
tauros,normal,None,14,884,75,100,95,40,70,110
magikarp,water,None,9,100,20,10,55,15,20,80
gyarados,water,flying,65,2350,95,125,79,60,100,81
lapras,water,ice,25,2200,130,85,80,85,95,60
ditto,normal,None,3,40,48,48,48,48,48,48
eevee,normal,None,3,65,55,55,50,45,65,55
vaporeon,water,None,10,290,130,65,60,110,95,65
jolteon,electric,None,8,245,65,65,60,110,95,130
flareon,fire,None,9,250,65,130,60,95,110,65
porygon,normal,None,8,365,65,60,70,85,75,40
omanyte,rock,water,4,75,35,40,100,90,55,35
omastar,rock,water,10,350,70,60,125,115,70,55
kabuto,rock,water,5,115,30,80,90,55,45,55
kabutops,rock,water,13,405,60,115,105,65,70,80
aerodactyl,rock,flying,18,590,80,105,65,60,75,130
snorlax,normal,None,21,4600,160,110,65,65,110,30
articuno,ice,flying,17,554,90,85,100,95,125,85
zapdos,electric,flying,16,526,90,90,85,125,90,100
moltres,fire,flying,20,600,90,100,90,125,85,90
dratini,dragon,None,18,33,41,64,45,50,50,50
dragonair,dragon,None,40,165,61,84,65,70,70,70
dragonite,dragon,flying,22,2100,91,134,95,100,100,80
mewtwo,psychic,None,20,1220,106,110,90,154,90,130
mew,psychic,None,4,40,100,100,100,100,100,100
chikorita,grass,None,9,64,45,49,65,49,65,45
bayleef,grass,None,12,158,60,62,80,63,80,60
meganium,grass,None,18,1005,80,82,100,83,100,80
cyndaquil,fire,None,5,79,39,52,43,60,50,65
quilava,fire,None,9,190,58,64,58,80,65,80
typhlosion,fire,None,17,795,78,84,78,109,85,100
totodile,water,None,6,95,50,65,64,44,48,43
croconaw,water,None,11,250,65,80,80,59,63,58
feraligatr,water,None,23,888,85,105,100,79,83,78
sentret,normal,None,8,60,35,46,34,35,45,20
furret,normal,None,18,325,85,76,64,45,55,90
hoothoot,normal,flying,7,212,60,30,30,36,56,50
noctowl,normal,flying,16,408,100,50,50,86,96,70
ledyba,bug,flying,10,108,40,20,30,40,80,55
ledian,bug,flying,14,356,55,35,50,55,110,85
spinarak,bug,poison,5,85,40,60,40,40,40,30
ariados,bug,poison,11,335,70,90,70,60,70,40
crobat,poison,flying,18,750,85,90,80,70,80,130
chinchou,water,electric,5,120,75,38,38,56,56,67
lanturn,water,electric,12,225,125,58,58,76,76,67
pichu,electric,None,3,20,20,40,15,35,35,60
cleffa,fairy,None,3,30,50,25,28,45,55,15
igglybuff,normal,fairy,3,10,90,30,15,40,20,15
togepi,fairy,None,3,15,35,20,65,40,65,20
togetic,fairy,flying,6,32,55,40,85,80,105,40
natu,psychic,flying,2,20,40,50,45,70,45,70
xatu,psychic,flying,15,150,65,75,70,95,70,95
mareep,electric,None,6,78,55,40,40,65,45,35
flaaffy,electric,None,8,133,70,55,55,80,60,45
ampharos,electric,None,14,615,90,75,85,115,90,55
bellossom,grass,None,4,58,75,80,95,90,100,50
marill,water,fairy,4,85,70,20,50,20,50,40
azumarill,water,fairy,8,285,100,50,80,60,80,50
sudowoodo,rock,None,12,380,70,100,115,30,65,30
politoed,water,None,11,339,90,75,75,90,100,70
hoppip,grass,flying,4,5,35,35,40,35,55,50
skiploom,grass,flying,6,10,55,45,50,45,65,80
jumpluff,grass,flying,8,30,75,55,70,55,95,110
aipom,normal,None,8,115,55,70,55,40,55,85
sunkern,grass,None,3,18,30,30,30,30,30,30
sunflora,grass,None,8,85,75,75,55,105,85,30
yanma,bug,flying,12,380,65,65,45,75,45,95
wooper,water,ground,4,85,55,45,45,25,25,15
quagsire,water,ground,14,750,95,85,85,65,65,35
espeon,psychic,None,9,265,65,65,60,130,95,110
umbreon,dark,None,10,270,95,65,110,60,130,65
murkrow,dark,flying,5,21,60,85,42,85,42,91
slowking,water,psychic,20,795,95,75,80,100,110,30
misdreavus,ghost,None,7,10,60,60,60,85,85,85
unown,psychic,None,5,50,48,72,48,72,48,48
wobbuffet,psychic,None,13,285,190,33,58,33,58,33
girafarig,normal,psychic,15,415,70,80,65,90,65,85
pineco,bug,None,6,72,50,65,90,35,35,15
forretress,bug,steel,12,1258,75,90,140,60,60,40
dunsparce,normal,None,15,140,100,70,70,65,65,45
gligar,ground,flying,11,648,65,75,105,35,65,85
steelix,steel,ground,92,4000,75,85,200,55,65,30
snubbull,fairy,None,6,78,60,80,50,40,40,30
granbull,fairy,None,14,487,90,120,75,60,60,45
qwilfish,water,poison,5,39,65,95,85,55,55,85
scizor,bug,steel,18,1180,70,130,100,55,80,65
shuckle,bug,rock,6,205,20,10,230,10,230,5
heracross,bug,fighting,15,540,80,125,75,40,95,85
sneasel,dark,ice,9,280,55,95,55,35,75,115
teddiursa,normal,None,6,88,60,80,50,50,50,40
ursaring,normal,None,18,1258,90,130,75,75,75,55
slugma,fire,None,7,350,40,40,40,70,40,20
magcargo,fire,rock,8,550,60,50,120,90,80,30
swinub,ice,ground,4,65,50,50,40,30,30,50
piloswine,ice,ground,11,558,100,100,80,60,60,50
corsola,water,rock,6,50,65,55,95,65,95,35
remoraid,water,None,6,120,35,65,35,65,35,65
octillery,water,None,9,285,75,105,75,105,75,45
delibird,ice,flying,9,160,45,55,45,65,45,75
mantine,water,flying,21,2200,85,40,70,80,140,70
skarmory,steel,flying,17,505,65,80,140,40,70,70
houndour,dark,fire,6,108,45,60,30,80,50,65
houndoom,dark,fire,14,350,75,90,50,110,80,95
kingdra,water,dragon,18,1520,75,95,95,95,95,85
phanpy,ground,None,5,335,90,60,60,40,40,40
donphan,ground,None,11,1200,90,120,120,60,60,50
porygon2,normal,None,6,325,85,80,90,105,95,60
stantler,normal,None,14,712,73,95,62,85,65,85
smeargle,normal,None,12,580,55,20,35,20,45,75
tyrogue,fighting,None,7,210,35,35,35,35,35,35
hitmontop,fighting,None,14,480,50,95,95,35,110,70
smoochum,ice,psychic,4,60,45,30,15,85,65,65
elekid,electric,None,6,235,45,63,37,65,55,95
magby,fire,None,7,214,45,75,37,70,55,83
miltank,normal,None,12,755,95,80,105,40,70,100
blissey,normal,None,15,468,255,10,10,75,135,55
raikou,electric,None,19,1780,90,85,75,115,100,115
entei,fire,None,21,1980,115,115,85,90,75,100
suicune,water,None,20,1870,100,75,115,90,115,85
larvitar,rock,ground,6,720,50,64,50,45,50,41
pupitar,rock,ground,12,1520,70,84,70,65,70,51
tyranitar,rock,dark,20,2020,100,134,110,95,100,61
lugia,psychic,flying,52,2160,106,90,130,90,154,110
ho-oh,fire,flying,38,1990,106,130,90,110,154,90
celebi,psychic,grass,6,50,100,100,100,100,100,100
treecko,grass,None,5,50,40,45,35,65,55,70
grovyle,grass,None,9,216,50,65,45,85,65,95
sceptile,grass,None,17,522,70,85,65,105,85,120
torchic,fire,None,4,25,45,60,40,70,50,45
combusken,fire,fighting,9,195,60,85,60,85,60,55
blaziken,fire,fighting,19,520,80,120,70,110,70,80
mudkip,water,None,4,76,50,70,50,50,50,40
marshtomp,water,ground,7,280,70,85,70,60,70,50
swampert,water,ground,15,819,100,110,90,85,90,60
poochyena,dark,None,5,136,35,55,35,30,30,35
mightyena,dark,None,10,370,70,90,70,60,60,70
zigzagoon,normal,None,4,175,38,30,41,30,41,60
linoone,normal,None,5,325,78,70,61,50,61,100
wurmple,bug,None,3,36,45,45,35,20,30,20
silcoon,bug,None,6,100,50,35,55,25,25,15
beautifly,bug,flying,10,284,60,70,50,100,50,65
cascoon,bug,None,7,115,50,35,55,25,25,15
dustox,bug,poison,12,316,60,50,70,50,90,65
lotad,water,grass,5,26,40,30,30,40,50,30
lombre,water,grass,12,325,60,50,50,60,70,50
ludicolo,water,grass,15,550,80,70,70,90,100,70
seedot,grass,None,5,40,40,40,50,30,30,30
nuzleaf,grass,dark,10,280,70,70,40,60,40,60
shiftry,grass,dark,13,596,90,100,60,90,60,80
taillow,normal,flying,3,23,40,55,30,30,30,85
swellow,normal,flying,7,198,60,85,60,75,50,125
wingull,water,flying,6,95,40,30,30,55,30,85
pelipper,water,flying,12,280,60,50,100,95,70,65
ralts,psychic,fairy,4,66,28,25,25,45,35,40
kirlia,psychic,fairy,8,202,38,35,35,65,55,50
gardevoir,psychic,fairy,16,484,68,65,65,125,115,80
surskit,bug,water,5,17,40,30,32,50,52,65
masquerain,bug,flying,8,36,70,60,62,100,82,80
shroomish,grass,None,4,45,60,40,60,40,60,35
breloom,grass,fighting,12,392,60,130,80,60,60,70
slakoth,normal,None,8,240,60,60,60,35,35,30
vigoroth,normal,None,14,465,80,80,80,55,55,90
slaking,normal,None,20,1305,150,160,100,95,65,100
nincada,bug,ground,5,55,31,45,90,30,30,40
ninjask,bug,flying,8,120,61,90,45,50,50,160
shedinja,bug,ghost,8,12,1,90,45,30,30,40
whismur,normal,None,6,163,64,51,23,51,23,28
loudred,normal,None,10,405,84,71,43,71,43,48
exploud,normal,None,15,840,104,91,63,91,73,68
makuhita,fighting,None,10,864,72,60,30,20,30,25
hariyama,fighting,None,23,2538,144,120,60,40,60,50
azurill,normal,fairy,2,20,50,20,40,20,40,20
nosepass,rock,None,10,970,30,45,135,45,90,30
skitty,normal,None,6,110,50,45,45,35,35,50
delcatty,normal,None,11,326,70,65,65,55,55,90
sableye,dark,ghost,5,110,50,75,75,65,65,50
mawile,steel,fairy,6,115,50,85,85,55,55,50
aron,steel,rock,4,600,50,70,100,40,40,30
lairon,steel,rock,9,1200,60,90,140,50,50,40
aggron,steel,rock,21,3600,70,110,180,60,60,50
meditite,fighting,psychic,6,112,30,40,55,40,55,60
medicham,fighting,psychic,13,315,60,60,75,60,75,80
electrike,electric,None,6,152,40,45,40,65,40,65
manectric,electric,None,15,402,70,75,60,105,60,105
plusle,electric,None,4,42,60,50,40,85,75,95
minun,electric,None,4,42,60,40,50,75,85,95
volbeat,bug,None,7,177,65,73,75,47,85,85
illumise,bug,None,6,177,65,47,75,73,85,85
roselia,grass,poison,3,20,50,60,45,100,80,65
gulpin,poison,None,4,103,70,43,53,43,53,40
swalot,poison,None,17,800,100,73,83,73,83,55
carvanha,water,dark,8,208,45,90,20,65,20,65
sharpedo,water,dark,18,888,70,120,40,95,40,95
wailmer,water,None,20,1300,130,70,35,70,35,60
wailord,water,None,145,3980,170,90,45,90,45,60
numel,fire,ground,7,240,60,60,40,65,45,35
camerupt,fire,ground,19,2200,70,100,70,105,75,40
torkoal,fire,None,5,804,70,85,140,85,70,20
spoink,psychic,None,7,306,60,25,35,70,80,60
grumpig,psychic,None,9,715,80,45,65,90,110,80
spinda,normal,None,11,50,60,60,60,60,60,60
trapinch,ground,None,7,150,45,100,45,45,45,10
vibrava,ground,dragon,11,153,50,70,50,50,50,70
flygon,ground,dragon,20,820,80,100,80,80,80,100
cacnea,grass,None,4,513,50,85,40,85,40,35
cacturne,grass,dark,13,774,70,115,60,115,60,55
swablu,normal,flying,4,12,45,40,60,40,75,50
altaria,dragon,flying,11,206,75,70,90,70,105,80
zangoose,normal,None,13,403,73,115,60,60,60,90
seviper,poison,None,27,525,73,100,60,100,60,65
lunatone,rock,psychic,10,1680,90,55,65,95,85,70
solrock,rock,psychic,12,1540,90,95,85,55,65,70
barboach,water,ground,4,19,50,48,43,46,41,60
whiscash,water,ground,9,236,110,78,73,76,71,60
corphish,water,None,6,115,43,80,65,50,35,35
crawdaunt,water,dark,11,328,63,120,85,90,55,55
baltoy,ground,psychic,5,215,40,40,55,40,70,55
claydol,ground,psychic,15,1080,60,70,105,70,120,75
lileep,rock,grass,10,238,66,41,77,61,87,23
cradily,rock,grass,15,604,86,81,97,81,107,43
anorith,rock,bug,7,125,45,95,50,40,50,75
armaldo,rock,bug,15,682,75,125,100,70,80,45
feebas,water,None,6,74,20,15,20,10,55,80
milotic,water,None,62,1620,95,60,79,100,125,81
castform,normal,None,3,8,70,70,70,70,70,70
kecleon,normal,None,10,220,60,90,70,60,120,40
shuppet,ghost,None,6,23,44,75,35,63,33,45
banette,ghost,None,11,125,64,115,65,83,63,65
duskull,ghost,None,8,150,20,40,90,30,90,25
dusclops,ghost,None,16,306,40,70,130,60,130,25
tropius,grass,flying,20,1000,99,68,83,72,87,51
chimecho,psychic,None,6,10,75,50,80,95,90,65
absol,dark,None,12,470,65,130,60,75,60,75
wynaut,psychic,None,6,140,95,23,48,23,48,23
snorunt,ice,None,7,168,50,50,50,50,50,50
glalie,ice,None,15,2565,80,80,80,80,80,80
spheal,ice,water,8,395,70,40,50,55,50,25
sealeo,ice,water,11,876,90,60,70,75,70,45
walrein,ice,water,14,1506,110,80,90,95,90,65
clamperl,water,None,4,525,35,64,85,74,55,32
huntail,water,None,17,270,55,104,105,94,75,52
gorebyss,water,None,18,226,55,84,105,114,75,52
relicanth,water,rock,10,234,100,90,130,45,65,55
luvdisc,water,None,6,87,43,30,55,40,65,97
bagon,dragon,None,6,421,45,75,60,40,30,50
shelgon,dragon,None,11,1105,65,95,100,60,50,50
salamence,dragon,flying,15,1026,95,135,80,110,80,100
beldum,steel,psychic,6,952,40,55,80,35,60,30
metang,steel,psychic,12,2025,60,75,100,55,80,50
metagross,steel,psychic,16,5500,80,135,130,95,90,70
regirock,rock,None,17,2300,80,100,200,50,100,50
regice,ice,None,18,1750,80,50,100,100,200,50
registeel,steel,None,19,2050,80,75,150,75,150,50
latias,dragon,psychic,14,400,80,80,90,110,130,110
latios,dragon,psychic,20,600,80,90,80,130,110,110
kyogre,water,None,45,3520,100,100,90,150,140,90
groudon,ground,None,35,9500,100,150,140,100,90,90
rayquaza,dragon,flying,70,2065,105,150,90,150,90,95
jirachi,steel,psychic,3,11,100,100,100,100,100,100
deoxys-normal,psychic,None,17,608,50,150,50,150,50,150
turtwig,grass,None,4,102,55,68,64,45,55,31
grotle,grass,None,11,970,75,89,85,55,65,36
torterra,grass,ground,22,3100,95,109,105,75,85,56
chimchar,fire,None,5,62,44,58,44,58,44,61
monferno,fire,fighting,9,220,64,78,52,78,52,81
infernape,fire,fighting,12,550,76,104,71,104,71,108
piplup,water,None,4,52,53,51,53,61,56,40
prinplup,water,None,8,230,64,66,68,81,76,50
empoleon,water,steel,17,845,84,86,88,111,101,60
starly,normal,flying,3,20,40,55,30,30,30,60
staravia,normal,flying,6,155,55,75,50,40,40,80
staraptor,normal,flying,12,249,85,120,70,50,60,100
bidoof,normal,None,5,200,59,45,40,35,40,31
bibarel,normal,water,10,315,79,85,60,55,60,71
kricketot,bug,None,3,22,37,25,41,25,41,25
kricketune,bug,None,10,255,77,85,51,55,51,65
shinx,electric,None,5,95,45,65,34,40,34,45
luxio,electric,None,9,305,60,85,49,60,49,60
luxray,electric,None,14,420,80,120,79,95,79,70
budew,grass,poison,2,12,40,30,35,50,70,55
roserade,grass,poison,9,145,60,70,65,125,105,90
cranidos,rock,None,9,315,67,125,40,30,30,58
rampardos,rock,None,16,1025,97,165,60,65,50,58
shieldon,rock,steel,5,570,30,42,118,42,88,30
bastiodon,rock,steel,13,1495,60,52,168,47,138,30
burmy,bug,None,2,34,40,29,45,29,45,36
wormadam-plant,bug,grass,5,65,60,59,85,79,105,36
mothim,bug,flying,9,233,70,94,50,94,50,66
combee,bug,flying,3,55,30,30,42,30,42,70
vespiquen,bug,flying,12,385,70,80,102,80,102,40
pachirisu,electric,None,4,39,60,45,70,45,90,95
buizel,water,None,7,295,55,65,35,60,30,85
floatzel,water,None,11,335,85,105,55,85,50,115
cherubi,grass,None,4,33,45,35,45,62,53,35
cherrim,grass,None,5,93,70,60,70,87,78,85
shellos,water,None,3,63,76,48,48,57,62,34
gastrodon,water,ground,9,299,111,83,68,92,82,39
ambipom,normal,None,12,203,75,100,66,60,66,115
drifloon,ghost,flying,4,12,90,50,34,60,44,70
drifblim,ghost,flying,12,150,150,80,44,90,54,80
buneary,normal,None,4,55,55,66,44,44,56,85
lopunny,normal,None,12,333,65,76,84,54,96,105
mismagius,ghost,None,9,44,60,60,60,105,105,105
honchkrow,dark,flying,9,273,100,125,52,105,52,71
glameow,normal,None,5,39,49,55,42,42,37,85
purugly,normal,None,10,438,71,82,64,64,59,112
chingling,psychic,None,2,6,45,30,50,65,50,45
stunky,poison,dark,4,192,63,63,47,41,41,74
skuntank,poison,dark,10,380,103,93,67,71,61,84
bronzor,steel,psychic,5,605,57,24,86,24,86,23
bronzong,steel,psychic,13,1870,67,89,116,79,116,33
bonsly,rock,None,5,150,50,80,95,10,45,10
mime-jr,psychic,fairy,6,130,20,25,45,70,90,60
happiny,normal,None,6,244,100,5,5,15,65,30
chatot,normal,flying,5,19,76,65,45,92,42,91
spiritomb,ghost,dark,10,1080,50,92,108,92,108,35
gible,dragon,ground,7,205,58,70,45,40,45,42
gabite,dragon,ground,14,560,68,90,65,50,55,82
garchomp,dragon,ground,19,950,108,130,95,80,85,102
munchlax,normal,None,6,1050,135,85,40,40,85,5
riolu,fighting,None,7,202,40,70,40,35,40,60
lucario,fighting,steel,12,540,70,110,70,115,70,90
hippopotas,ground,None,8,495,68,72,78,38,42,32
hippowdon,ground,None,20,3000,108,112,118,68,72,47
skorupi,poison,bug,8,120,40,50,90,30,55,65
drapion,poison,dark,13,615,70,90,110,60,75,95
croagunk,poison,fighting,7,230,48,61,40,61,40,50
toxicroak,poison,fighting,13,444,83,106,65,86,65,85
carnivine,grass,None,14,270,74,100,72,90,72,46
finneon,water,None,4,70,49,49,56,49,61,66
lumineon,water,None,12,240,69,69,76,69,86,91
mantyke,water,flying,10,650,45,20,50,60,120,50
snover,grass,ice,10,505,60,62,50,62,60,40
abomasnow,grass,ice,22,1355,90,92,75,92,85,60
weavile,dark,ice,11,340,70,120,65,45,85,125
magnezone,electric,steel,12,1800,70,70,115,130,90,60
lickilicky,normal,None,17,1400,110,85,95,80,95,50
rhyperior,ground,rock,24,2828,115,140,130,55,55,40
tangrowth,grass,None,20,1286,100,100,125,110,50,50
electivire,electric,None,18,1386,75,123,67,95,85,95
magmortar,fire,None,16,680,75,95,67,125,95,83
togekiss,fairy,flying,15,380,85,50,95,120,115,80
yanmega,bug,flying,19,515,86,76,86,116,56,95
leafeon,grass,None,10,255,65,110,130,60,65,95
glaceon,ice,None,8,259,65,60,110,130,95,65
gliscor,ground,flying,20,425,75,95,125,45,75,95
mamoswine,ice,ground,25,2910,110,130,80,70,60,80
porygon-z,normal,None,9,340,85,80,70,135,75,90
gallade,psychic,fighting,16,520,68,125,65,65,115,80
probopass,rock,steel,14,3400,60,55,145,75,150,40
dusknoir,ghost,None,22,1066,45,100,135,65,135,45
froslass,ice,ghost,13,266,70,80,70,80,70,110
rotom,electric,ghost,3,3,50,50,77,95,77,91
uxie,psychic,None,3,3,75,75,130,75,130,95
mesprit,psychic,None,3,3,80,105,105,105,105,80
azelf,psychic,None,3,3,75,125,70,125,70,115
dialga,steel,dragon,54,6830,100,120,120,150,100,90
palkia,water,dragon,42,3360,90,120,100,150,120,100
heatran,fire,steel,17,4300,91,90,106,130,106,77
regigigas,normal,None,37,4200,110,160,110,80,110,100
giratina-altered,ghost,dragon,45,7500,150,100,120,100,120,90
cresselia,psychic,None,15,856,120,70,110,75,120,85
phione,water,None,4,31,80,80,80,80,80,80
manaphy,water,None,3,14,100,100,100,100,100,100
darkrai,dark,None,15,505,70,90,90,135,90,125
shaymin-land,grass,None,2,21,100,100,100,100,100,100
arceus,normal,None,32,3200,120,120,120,120,120,120
victini,psychic,fire,4,40,100,100,100,100,100,100
snivy,grass,None,6,81,45,45,55,45,55,63
servine,grass,None,8,160,60,60,75,60,75,83
serperior,grass,None,33,630,75,75,95,75,95,113
tepig,fire,None,5,99,65,63,45,45,45,45
pignite,fire,fighting,10,555,90,93,55,70,55,55
emboar,fire,fighting,16,1500,110,123,65,100,65,65
oshawott,water,None,5,59,55,55,45,63,45,45
dewott,water,None,8,245,75,75,60,83,60,60
samurott,water,None,15,946,95,100,85,108,70,70
patrat,normal,None,5,116,45,55,39,35,39,42
watchog,normal,None,11,270,60,85,69,60,69,77
lillipup,normal,None,4,41,45,60,45,25,45,55
herdier,normal,None,9,147,65,80,65,35,65,60
stoutland,normal,None,12,610,85,110,90,45,90,80
purrloin,dark,None,4,101,41,50,37,50,37,66
liepard,dark,None,11,375,64,88,50,88,50,106
pansage,grass,None,6,105,50,53,48,53,48,64
simisage,grass,None,11,305,75,98,63,98,63,101
pansear,fire,None,6,110,50,53,48,53,48,64
simisear,fire,None,10,280,75,98,63,98,63,101
panpour,water,None,6,135,50,53,48,53,48,64
simipour,water,None,10,290,75,98,63,98,63,101
munna,psychic,None,6,233,76,25,45,67,55,24
musharna,psychic,None,11,605,116,55,85,107,95,29
pidove,normal,flying,3,21,50,55,50,36,30,43
tranquill,normal,flying,6,150,62,77,62,50,42,65
unfezant,normal,flying,12,290,80,115,80,65,55,93
blitzle,electric,None,8,298,45,60,32,50,32,76
zebstrika,electric,None,16,795,75,100,63,80,63,116
roggenrola,rock,None,4,180,55,75,85,25,25,15
boldore,rock,None,9,1020,70,105,105,50,40,20
gigalith,rock,None,17,2600,85,135,130,60,80,25
woobat,psychic,flying,4,21,65,45,43,55,43,72
swoobat,psychic,flying,9,105,67,57,55,77,55,114
