name,type_1,type_2,height,weight,hp,attack,defense,special-attack,special-defense,speed
ponyta,fire,None,10,300,50,85,55,65,65,90
rapidash,fire,None,17,950,65,100,70,80,80,105
slowpoke,water,psychic,12,360,90,65,65,40,40,15
slowbro,water,psychic,16,785,95,75,110,100,80,30
magnemite,electric,steel,3,60,25,35,70,95,55,45
magneton,electric,steel,10,600,50,60,95,120,70,70
farfetchd,normal,flying,8,150,52,90,55,58,62,60
doduo,normal,flying,14,392,35,85,45,35,35,75
dodrio,normal,flying,18,852,60,110,70,60,60,110
seel,water,None,11,900,65,45,55,45,70,45
dewgong,water,ice,17,1200,90,70,80,70,95,70
grimer,poison,None,9,300,80,80,50,40,50,25
muk,poison,None,12,300,105,105,75,65,100,50
shellder,water,None,3,40,30,65,100,45,25,40
cloyster,water,ice,15,1325,50,95,180,85,45,70
gastly,ghost,poison,13,1,30,35,30,100,35,80
haunter,ghost,poison,16,1,45,50,45,115,55,95
gengar,ghost,poison,15,405,60,65,60,130,75,110
onix,rock,ground,88,2100,35,45,160,30,45,70
drowzee,psychic,None,10,324,60,48,45,43,90,42
hypno,psychic,None,16,756,85,73,70,73,115,67
krabby,water,None,4,65,30,105,90,25,25,50
kingler,water,None,13,600,55,130,115,50,50,75
voltorb,electric,None,5,104,40,30,50,55,55,100
electrode,electric,None,12,666,60,50,70,80,80,150
exeggcute,grass,psychic,4,25,60,40,80,60,45,40
exeggutor,grass,psychic,20,1200,95,95,85,125,75,55
cubone,ground,None,4,65,50,50,95,40,50,35
marowak,ground,None,10,450,60,80,110,50,80,45
hitmonlee,fighting,None,15,498,50,120,53,35,110,87
hitmonchan,fighting,None,14,502,50,105,79,35,110,76
lickitung,normal,None,12,655,90,55,75,60,75,30
koffing,poison,None,6,10,40,65,95,60,45,35
weezing,poison,None,12,95,65,90,120,85,70,60
rhyhorn,ground,rock,10,1150,80,85,95,30,30,25
rhydon,ground,rock,19,1200,105,130,120,45,45,40
chansey,normal,None,11,346,250,5,5,35,105,50
tangela,grass,None,10,350,65,55,115,100,40,60
kangaskhan,normal,None,22,800,105,95,80,40,80,90
horsea,water,None,4,80,30,40,70,70,25,60
seadra,water,None,12,250,55,65,95,95,45,85
goldeen,water,None,6,150,45,67,60,35,50,63
seaking,water,None,13,390,80,92,65,65,80,68
staryu,water,None,8,345,30,45,55,70,55,85
starmie,water,psychic,11,800,60,75,85,100,85,115
mr-mime,psychic,fairy,13,545,40,45,65,100,120,90
scyther,bug,flying,15,560,70,110,80,55,80,105
jynx,ice,psychic,14,406,65,50,35,115,95,95
electabuzz,electric,None,11,300,65,83,57,95,85,105
magmar,fire,None,13,445,65,95,57,100,85,93
pinsir,bug,None,15,550,65,125,100,55,70,85
tauros,normal,None,14,884,75,100,95,40,70,110
magikarp,water,None,9,100,20,10,55,15,20,80
gyarados,water,flying,65,2350,95,125,79,60,100,81
lapras,water,ice,25,2200,130,85,80,85,95,60
ditto,normal,None,3,40,48,48,48,48,48,48
eevee,normal,None,3,65,55,55,50,45,65,55
vaporeon,water,None,10,290,130,65,60,110,95,65
jolteon,electric,None,8,245,65,65,60,110,95,130
flareon,fire,None,9,250,65,130,60,95,110,65
porygon,normal,None,8,365,65,60,70,85,75,40
omanyte,rock,water,4,75,35,40,100,90,55,35
omastar,rock,water,10,350,70,60,125,115,70,55
kabuto,rock,water,5,115,30,80,90,55,45,55
kabutops,rock,water,13,405,60,115,105,65,70,80
aerodactyl,rock,flying,18,590,80,105,65,60,75,130
snorlax,normal,None,21,4600,160,110,65,65,110,30
articuno,ice,flying,17,554,90,85,100,95,125,85
zapdos,electric,flying,16,526,90,90,85,125,90,100
moltres,fire,flying,20,600,90,100,90,125,85,90
dratini,dragon,None,18,33,41,64,45,50,50,50
dragonair,dragon,None,40,165,61,84,65,70,70,70
dragonite,dragon,flying,22,2100,91,134,95,100,100,80
mewtwo,psychic,None,20,1220,106,110,90,154,90,130
mew,psychic,None,4,40,100,100,100,100,100,100
